content,score,thumbsUpCount,at,clean_content
Kenapa dalam perbaikan terus 2hari ini...,2,0,2022-12-23 23:00:40,perbaikan
Tolong ya buat yg berdagang di aplikasi ini. Jngan jual sepatu di kasih ny gelang. Jual baju di kasih ny jepit. Perbaiki cara komunikasi. Barang udah di bayar tidak sesuai pesanan tidak bisa di kembalikan.. apaakah,2,0,2022-07-23 16:04:13,tolong ya yg berdagang aplikasi jngan jual sepatu kasih ny gelang jual baju kasih ny jepit perbaiki komunikasi barang udah bayar sesuai pesanan kembalikan apaakah
Aplikasinya lemot. Loadingnya lama.. Mau pakek jaringan wifi ataupun paket data kartu sama aja tetap lama loadingnya. Parah sekali sekarang..,2,0,2022-11-04 11:20:55,aplikasinya lemot loadingnya pakek jaringan wifi paket data kartu aja loadingnya parah
Gambar barang tidak muncul,2,0,2022-12-09 01:35:54,gambar barang muncul
Koo shoppe live cman ke potong 20rb sih sumpah kecewa baisany kn 50rb😭😭,2,0,2022-08-14 03:07:47,koo shopp live cman potong rb sih sumpah kecewa baisani kn rb
"Saya Unisnstal karena pelit ngk ngasih limit pinjaman👊 ,jadi pindah ke akulaku gak ribet",2,0,2022-08-12 11:38:33,unisnst pelit ngk ngasih limit pinjaman pindah akulaku gak ribet
Tolong aplikasi shopee sy erore dr kemarin,2,0,2022-12-24 12:17:33,tolong aplikasi shope sy eror dr kemarin
Aplikasinya lemmott,2,0,2022-10-27 09:50:41,aplikasinya lemmott
"Pencarian menurut saya kurang akurat, jauh dari kata pencarian terkadang.",2,0,2022-07-22 23:36:42,pencarian akurat pencarian terkadang
Sudah top up shopee pay malah saldonya tidak masuk udah menghubungi cs balasannya lama dan permasalahan gak selesai,2,0,2023-01-02 16:27:52,top up shope pay saldonya masuk udah menghubungi cs balasannya permasalahan gak selesai
Lemot bangettt. Bikin males bukanya:(,2,0,2023-02-24 13:13:14,lemot bangettt bikin male bukanya
"Dikit2 admin, mau check out admin, isi saldo admin, gratis ongkir ptongan makin dikit hadeeehhh lama2 males pake shopee mngkin bsa bralih ke aplikasi sbelah kali ya",2,0,2022-12-03 08:12:28,dikit admin check out admin isi saldo admin grati ongkir ptongan dikit hadeeehhh male pake shope mngkin bsa bralih aplikasi sbelah kali ya
"Ko skarang shopee aku suka ga mau di buka keterangannya sedang dalam perbaikan terus...padahal sudah diperbarui,sudah hapus cache..",2,0,2022-12-24 07:21:58,ko skarang shope suka ga buka keterangannya perbaikan teruspadah diperbaruisudah hapu cach
"Min maap kukasi bintang 2 dulu ya. Shopeeku lemot banget, selalu aja minta sambungkan ke jaringan lbh stabil, pdhl sblmnya ga. Udah login logout, bersihkan cache, bahkan sampe reinstall, ttp aja ga bisa. Sampe ak gabisa CO apapun 😭. Ak mau chat cs aja gabisa krn selalu sambungkan ke jaringan yg lebih stabil. Jaringanku oke, tapi skrg gabisa buat akses shopee. Tolong min ak harus ke siapa biar ak bisa pake shopee lagi. Terimakasih mimin",2,1,2022-09-19 08:51:46,min maap kukasi bintang ya shopeeku lemot banget aja sambungkan jaringan lbh stabil pdhl sblmnya ga udah login logout bersihkan cach samp reinstal ttp aja ga samp ak gabisa co apapun ak chat cs aja gabisa krn sambungkan jaringan yg stabil jaringanku oke skrg gabisa aks shope tolong min ak biar ak pake shope terimakasih mimin
"Makin kesini shope makin gajelas,giliran baju sexy ada tapigiliran nyari Vape susahbanget gakeluar keluar.",2,0,2023-02-20 14:53:45,kesini shope gajelasgiliran baju sexi tapigiliran nyari vape susahbanget gakeluar
kenapa pembaharuan halaman trs ch mau belanja susah mau beli token susah....,2,0,2022-12-23 09:20:01,pembaharuan halaman tr ch belanja susah beli token susah
"Ribet sekali mau mindahin no hp, dri hp yg lama dgn hp yg baru..",2,0,2022-10-18 07:21:46,ribet mindahin no hp dri hp yg dgn hp yg
"Limit ada, malahan tdi pagi limit ditambah 270k, ehh tiap kali mau nyoba pembayaran pakek shopeepaylater ditolak mulu...ahhh bkin ksel dah shopee, mending hapus ajja dah akun saya.",2,11,2023-03-10 04:07:11,limit tdi pagi limit ditambah k ehh kali nyoba pembayaran pakek shopeepaylat ditolak muluahhh bkin ksel dah shope mend hapu ajja dah akun
Bagus tp ada video video nya gitu jadi lemot,2,0,2022-07-22 08:15:22,bagu tp video video nya gitu lemot
"Setelah update malah lemot, sering macet jd males mau belanja. Soalnya harus force close app dulu baru bisa. Ahg..... Sudahlah",2,1,2022-07-19 05:25:02,updat lemot macet jd male belanja forc close app ahg
Apk nya lemot,2,0,2022-10-21 13:35:44,apk nya lemot
sangat kecewa saya beanja di sopee selernya kantornya ga tanggung jawab sampai saat ini kurang barang nya ga ada yg tanggung jawab,2,0,2022-12-20 06:18:44,kecewa beanja sope selernya kantornya ga tanggung barang nya ga yg tanggung
Melihat biaya penanganan yang begitu mahal saya jadi urung membeli barang yang saya inginkan,2,0,2022-11-23 04:02:29,biaya penanganan mahal urung memb barang
"Shopee sekarang makin manja, harus belanja Rp 40-Ribu baru dapat Ongkir ... Dulu Belanja Rp 0",2,0,2022-11-05 10:33:06,shope manja belanja rp ribu ongkir belanja rp
Intinya lemot parah dan dan tidak semua produk bisa COD. semoga cepat d perbaiki,2,0,2023-03-26 05:03:38,intinya lemot parah produk cod semoga cepat d perbaiki
Gabisa dibuka malahan,2,0,2022-12-23 12:23:13,gabisa dibuka
Akun saya di blokir apa salah saya,2,0,2023-01-18 07:52:04,akun blokir salah
Gambar item produk sangat sering sekali tidak muncul. Sering ngelag. Tolong diperbaiki.,2,0,2022-11-16 16:56:24,gambar item produk muncul ngelag tolong diperbaiki
Saya mau membayar lewat shoopepay malah shoopepay nya tidak bisa di buka?,2,0,2022-08-12 04:29:16,membayar shoopepay shoopepay nya buka
"Habis update malah lemot, sampai udah unistall ttp lemot, koreksi dong developer nya, jangan kasih saran yg klasik, sinyal ok, delete chace dll, jd males pakai Tuh kan klasik banget balasannya by bot..",2,0,2023-02-27 15:06:01,habi updat lemot udah unistal ttp lemot koreksi develop nya kasih saran yg klasik sinyal ok delet chace dll jd male pakai tuh klasik banget balasannya by bot
Aplikasinya berat susah orang buat belanja di handpon spek rendah,2,0,2022-11-08 03:19:16,aplikasinya berat susah orang belanja handpon spek rendah
"perbaikan mulu dari kemaren ga bisa di buka aplikasi nya,saldo ngendap di dalam lagih parahh",2,0,2022-12-23 11:21:48,perbaikan mulu kemaren ga buka aplikasi nyasaldo ngendap lagih parahh
Kok aplikasi shopee qw dlam perbaikan trs yah mau blnja jdi gk bsa ngsel in bgt qw mau uninstal takut slh ntr kehilangan akun shopee qw😣 tlong dong pihak shopee ksih solusi d apain gtu biar gk smpek uninstal pdhl gk undate kok mlah gtu kmbali k halamn trs,2,0,2022-09-23 02:07:51,aplikasi shope qw dlam perbaikan tr yah blnja jdi gk bsa ngsel in bgt qw uninst takut slh ntr kehilangan akun shope qw tlong shope ksih solusi d apain gtu biar gk smpek uninst pdhl gk undat mlah gtu kmbali k halamn tr
Kenapa setelah update suka keluar dg sendiri aplikasinya. Nge bug. Dan lemot banget. Padahal signal nya full.,2,0,2022-09-16 04:05:35,updat suka dg aplikasinya nge bug lemot banget signal nya full
"Sekarang susah, lemot, geal geol,,bikin emosi,,, !",2,0,2023-03-05 00:29:58,susah lemot geal geolbikin emosi
"bagus, apl yg sangat membantu tpi maaf cukup dua bintang aja, karena yg tiga ada di ayang🤣",2,0,2022-09-08 04:45:08,bagu apl yg membantu tpi maaf bintang aja yg ayang
Sekarang Gak ada Gratis Ongkir nya.,2,0,2022-11-01 15:17:10,gak grati ongkir nya
Loadingnya lama,2,0,2022-10-12 08:05:13,loadingnya
Delay,2,0,2023-01-02 16:50:19,delay
Mohon segera di perbaiki masalah lambatnya respon aplikasi Shopee versi sekarang ini. Terima kasih!,2,0,2022-09-23 14:00:36,mohon perbaiki lambatnya respon aplikasi shope versi terima kasih
Makin lama makin lemot,2,0,2023-01-14 05:40:15,lemot
Katanya shopee gratis ongkir.padahal potongan ongkir,2,0,2022-07-29 16:47:58,shope grati ongkirpadah potongan ongkir
"Makin kesini makin lemot aja sering di update bukannya tambah lancar malah tambah lemot, ditambah sekrang shope pelit gratis ongkir pelit cashback biaya penangan nya aja bisa ngalah2in ongkir whyyy shipe makin kesini makin bintang 1 aja 😭 padahal dulu banyak banget gretongan nya , performa nya makin lelet 💔",2,0,2022-12-10 08:50:14,kesini lemot aja updat lancar lemot ditambah sekrang shope pelit grati ongkir pelit cashback biaya penangan nya aja ngalahin ongkir whyyi shipe kesini bintang aja banget gretongan nya performa nya lelet
"Perbaikan kek udah di update masih aja frezee, bug, error, dll. Hadehhh",2,0,2022-08-20 21:20:47,perbaikan kek udah updat aja freze bug error dll hadehhh
Kalo dapet gratis ongkir kepotong nya cmn 5000 ga kek dulu 😌💔,2,0,2022-10-15 16:18:15,kalo dapet grati ongkir kepotong nya cmn ga kek
"Semakin di update semakin lemot ini apk, padahal sinyal sangat bagus. Kenapa ya ?",2,8,2022-10-31 12:53:50,updat lemot apk sinyal bagu ya
Perbaiki lagi dong systemnya udh lemot tiba2 kelogout kemarin,2,0,2023-02-07 03:28:04,perbaiki systemnya udh lemot kelogout kemarin
Mntap. Tp sayang ga bisa ganti akun di satu hp padahal udah aktivasi shopee pay😌,2,0,2022-07-31 17:27:45,mntap tp sayang ga ganti akun hp udah aktivasi shope pay
Secara keseluruhan untuk fiturnya cukup lumayanlah tapi untuk shopee emas kurang memuaskan Krn penanganannya diserahkan ke pihak ketiga yang sangat membuat aturan agak merugikan/menyusahkan Krn untuk jual beli emas di shopee terlalu besar biaya seperti biaya penitipan yang mengurangi jumlah berat emas serta untuk penjualan emas tidak bisa semua harus ada saldo yang di tahan Ndak sama dengan yang lainnya bisa jual emas semua tanpa ada saldo di tahan.....,2,0,2022-12-20 12:10:49,fiturnya lumayanlah shope ema memuaskan krn penanganannya diserahkan ketiga aturan merugikanmenyusahkan krn jual beli ema shope biaya biaya penitipan mengurangi berat ema penjualan ema saldo tahan ndak jual ema saldo tahan
"Sekarang ada biaya layanan cebu, sekarang pelit gratis ongkir",2,0,2022-12-19 03:13:45,biaya layanan cebu pelit grati ongkir
"Please, for platinum members, give a discount for free shipping.",2,0,2022-09-19 12:04:49,pleas for platinum member give a discount for free ship
"Hati hati jika melakukan pinjaman spinjam saya sudah jadi korban,jangan mudah tergiur,saya sudah melunasi lebih awal namun Masi ada penagihan yg seolah"" saya gak bayar, sudah saya laporan ke pihak shopee secera telpn sampai 3x tetapi tetap nihilll ,saya tetap ada penagihan ,,disini saya merasa dirugikan dan merasa klw semua Cs shopee tidak profesional aplikasi burukkkk,dan skg saya proses pelaporan ke pihak berwajib krna saya korban pemerasan dari pihak shopee",2,0,2022-09-01 00:49:42,hati hati pinjaman spinjam korbanjangan mudah tergiursaya melunasi masi penagihan yg gak bayar laporan shope secera telpn x nihill penagihan dirugikan klw cs shope profesion aplikasi burukkkkdan skg prose pelaporan berwajib krna korban pemerasan shope
"males ongkir nya jd mahal, harus belanja 120rb biar potongan ongkir nya gede.. ga kyk dulu, nunggu 10.10 pun skrng sama potongan ongkir nya.. goodbye.",2,0,2022-10-09 17:04:07,male ongkir nya jd mahal belanja rb biar potongan ongkir nya gede ga kyk nunggu skrng potongan ongkir nya goodby
"makin kesini gratis ongkirnya makin pelit. produk kebanyakan dari pulau jawa, pembeli yg diluar pulau jadi kemahalan di ongkir kalo belanja. harusnya makin laris makin dibanyakin dong promonya, tapi ini makin nyiksa aja.",2,11,2022-11-26 05:38:58,kesini grati ongkirnya pelit produk kebanyakan pulau jawa pemb yg diluar pulau kemahalan ongkir kalo belanja lari dibanyakin promonya nyiksa aja
"kenapa ga bisa didownload ya, padahal cuma tinggal memasang doang. padahal memori ga penuh, tolong dong diperbaiki",2,0,2022-09-09 00:26:14,ga didownload ya tinggal memasang doang memori ga penuh tolong diperbaiki
Shopee kok eror terus ya?,2,0,2023-01-04 14:05:15,shope eror ya
setelah upgrade malah eror aplikasinya,2,0,2022-12-22 11:43:03,upgrad eror aplikasinya
Nyeselin sumpah ni shopee jaringan bagus tapi pas dibuka kok putih gak keluar keluar produknya,2,0,2022-10-29 07:06:24,nyeselin sumpah ni shope jaringan bagu pa dibuka putih gak produknya
Shopee kok makin kesini makin lama dapet voucher gratis ongkir nya kan ga seru jadinya,2,0,2023-01-30 06:58:15,shope kesini dapet voucher grati ongkir nya ga seru
"Aplikasinya semakin berat saat login, responnya lama, ini kenapa ya padahal jaringan stabil. Mau transaksi jadi terhambat.",2,0,2022-10-26 01:03:12,aplikasinya berat login responnya ya jaringan stabil transaksi terhambat
Kerenn,2,0,2023-01-08 05:00:08,kerenn
Sumpah gak bisa dibukak😭,2,0,2022-12-23 12:11:33,sumpah gak dibukak
Eror halaman sedang diperbaiki mulu,2,0,2022-12-24 00:46:45,eror halaman diperbaiki mulu
"Tolong, udah masuk App... Ko logout sendiri...",2,0,2022-10-04 06:29:10,tolong udah masuk app ko logout
Cih sekarang udah gapernah dapet gratis ongkir,2,0,2022-11-17 07:37:59,cih udah gapernah dapet grati ongkir
"Bagus sih apk nya, cuma setiap saya mau dowload pasti gabisa mulu padahal terbilang jaringan nya bagus",2,0,2022-10-13 09:23:27,bagu sih apk nya dowload gabisa mulu terbilang jaringan nya bagu
Tolong koin bisa ditukarkan 100% dong masa yang terkurang dikit aja sih,2,0,2022-10-31 11:24:36,tolong koin ditukarkan terkurang dikit aja sih
Dari dulu suka banget sama Shopee cuma akhir akhir ini suka bikin kesel. Responnya lama banget pas mau belanja padhal internet ku juga lancar.,2,0,2022-07-31 13:38:56,suka banget shope suka bikin kesel responnya banget pa belanja padhal internet ku lancar
"Kenapa setiap di buka kembali ke halaman utama teruz, gangguan teruz",2,0,2022-12-24 02:13:35,buka halaman utama teruz gangguan teruz
Tiba tiba akun saya hilang srh ganti yg baru dana saya tiba tiba raib... Tlg d bantu,2,0,2023-02-06 05:18:01,akun hilang srh ganti yg dana raib tlg d bantu
"Ini kenapa ya abis pembaruan lancar² aja eh ini tiba2 sering relog sendiri hampir seharian lagi, mana lagi butuh, hemm",2,0,2022-12-23 19:15:29,ya abi pembaruan lancar aja eh relog seharian butuh hemm
"Lemot,ngelag.Aplikasi sering lambat.",2,0,2022-10-15 13:51:37,lemotngelagaplikasi lambat
"Makin update bukan makin lancar malah banyak masalah. Yang nyendatlah, buglah 😤 Kirain update makin oke, malah makin nurun",2,0,2022-08-05 22:45:51,updat lancar nyendatlah buglah kirain updat oke nurun
"Shopee sekarang loadingnya terlalu lama padahal sinyal bagus, ram hp mendukung",2,0,2023-01-16 00:10:46,shope loadingnya sinyal bagu ram hp mendukung
Lemot banget,2,0,2023-01-15 06:05:51,lemot banget
Kenapa makin hari makin lemot...di perbaiki donk sistemnya...,2,0,2022-12-23 06:24:50,lemotdi perbaiki donk sistemnya
Bagus banyak gratis ongkir😁,2,0,2023-02-09 03:43:54,bagu grati ongkir
Shopee sekarang lemot banget sumpahh.,2,0,2023-03-02 08:33:30,shope lemot banget sumpahh
Shopee sekarang lg knp sih.,2,0,2022-07-28 10:15:09,shope lg knp sih
"Terimakasih telah mengunakan shopee!! Kami juga sudah meningkatkaan performa shopee agar kamu bisa merasakan pengalaman berbelanja yang lebih menyenangkan. Halaaahhhh!! omong kosong aplikasi tetap terasa lemot,berat padahal sudah dicek kapasitas ram dan internal hp kecepatan internet masih cukup lah tapi kenapa masih lemot dan berat saat buka aplikasi shopeenya??",2,1220,2023-03-22 18:00:18,terimakasih mengunakan shope meningkatkaan performa shope merasakan pengalaman berbelanja menyenangkan halaaahhhh omong kosong aplikasi lemotberat dicek kapasita ram intern hp kecepatan internet lemot berat buka aplikasi shopeenya
"Ini kenapa akun shoope gabisa dibuka ya, suruh menghubungkan ke jaringan yg ada. Mohon kejelasannya udah 3 hari gabisa diapa2kan apk shoope saya, pdhl ada pesanan saya yg harus saya lihat",2,0,2023-02-19 14:45:53,akun shoop gabisa dibuka ya suruh menghubungkan jaringan yg mohon kejelasannya udah gabisa diapakan apk shoop pdhl pesanan yg lihat
"Semakin ke sinih nge leg trus, pdhal apk yg lain msih lancar2 tolong dong diberikan solusinya lgi",2,0,2022-08-21 14:21:09,sinih nge leg tru pdhal apk yg msih lancar tolong solusinya lgi
Di shopee wab gk bisa bayar pakai paylater,2,0,2022-12-23 00:44:21,shope wab gk bayar pakai paylat
"Aplikasi ny sekarang berat pdhl sinyal full, ongkir jadi mahal",2,0,2022-12-31 07:09:09,aplikasi ny berat pdhl sinyal full ongkir mahal
Syopi knpa jdi gini. lemot dan selalu dalam pembaharuan,2,0,2022-12-24 11:33:32,syopi knpa jdi gini lemot pembaharuan
Apk nya sekarang rumit.,2,0,2023-03-23 08:35:39,apk nya rumit
Hari ini aku kesal sekali dgn aplikas shopee. Dr jam 6 sore aku mau beli pulsa via shopee tp fitur pulsa tdk terbuka dan teruuuus loading. Sdh bermacam cara mengatasi kelemotan aplikasi shopee tp tdk ada hasil. Padahal aku sdng butuh pulsa utk beli paket data yg hampir habis😢😢,2,0,2023-01-31 15:09:39,kesal dgn aplika shope dr jam sore beli pulsa via shope tp fitur pulsa tdk terbuka teruuuu load sdh mengatasi kelemotan aplikasi shope tp tdk hasil sdng butuh pulsa utk beli paket data yg habi
"Sekarang kalo nonton live putus"" mulu bikin ga dapet"" fixan beteeee",2,0,2022-12-02 00:19:12,kalo nonton live putu mulu bikin ga dapet fixan beteee
Suka aplikasinya cuman kurirnya lemot,2,0,2022-12-02 11:07:28,suka aplikasinya cuman kurirnya lemot
Knpa shopee saya tidak bisa diinstal ya?,2,0,2022-10-02 12:05:03,knpa shope diinstal ya
Gembel !! Gw ga di kasih spinjam,2,1,2023-02-09 07:03:03,gembel gw ga kasih spinjam
Knp skrg shopee sering bgt ngeblank yaa.. pembayaran shopeepay tambah ruwet,2,0,2023-02-08 10:43:02,knp skrg shope bgt ngeblank yaa pembayaran shopeepay ruwet
Aplikasi bagus tapi error saat kirim foto/video unboxing.,2,1,2022-09-24 05:11:37,aplikasi bagu error kirim fotovideo unbox
"Aplikasinya cukup membantu sih buat belanja online. Tapi makin kesini ongkirnya makin mahal yaa, jadi males buat belanja lagi.",2,0,2022-12-07 15:05:53,aplikasinya membantu sih belanja onlin kesini ongkirnya mahal yaa male belanja
"Lemot ,, apk blanja no 1 di indonesia payah ,,,",2,0,2022-07-13 14:01:02,lemot apk blanja no indonesia payah
"Gajelas udh undang teman capek"" knapa bonus saldonya di tolak pas mau tarik .. klo emng ditolak gpp tapi balikin .. udh ditolak saldonya ga balik makin males aja maininnya",2,0,2022-09-08 10:49:34,gajela udh undang teman capek knapa bonu saldonya tolak pa tarik klo emng ditolak gpp balikin udh ditolak saldonya ga male aja maininnya
Tolong saya tidak bisa buka shopeepay saya. Keterangan update fitur di tungguin lama sekali,2,0,2022-12-17 12:47:20,tolong buka shopeepay keterangan updat fitur tungguin
Entah bagaimana lgi Shopee masa saya udah saya cancel masih tetap datang mohon perhatiannya jdi saya tidak pesan barang online lagi demikian dari saya Terima kasih,2,0,2022-12-16 10:50:42,lgi shope udah cancel mohon perhatiannya jdi pesan barang onlin terima kasih
Sekarang banyak biaya buat pesanana. Penanganan.sma bayar admin ke jasa pembayaran...,2,0,2022-12-05 09:01:08,biaya pesanana penanganansma bayar admin jasa pembayaran
"Knp nama & nope pembeli nya jd di sensor??? Saya jd susah mau hubungi pembeli klo ada barang yg kosong, krn 80% pembeli langsung membuat pesanan & tdk pernah menanyakan stok saat ingin membeli. Menghubungi nope pembeli adlh langkah kedua jika pembeli tdk membalas /melihat chat Shopee, KRN GA SEMUA PEMBELI SADAR /SUKA UNTUK MELIHAT /MERIKSA CHAT SHOPEE dan itu pengakuan dr pembelinya sndiri yg bilang ke saya saat dihubungi nope nya via WA. Spertinya seller makin kesini makin dipersulit ga sih..",2,0,2022-08-02 09:48:07,knp nama nope pemb nya jd sensor jd susah hubungi pemb klo barang yg kosong krn pemb langsung pesanan tdk stok memb menghubungi nope pemb adlh langkah pemb tdk membala chat shope krn ga pemb sadar suka meriksa chat shope pengakuan dr pembelinya sndiri yg bilang dihubungi nope nya via wa spertinya seller kesini dipersulit ga sih
Banyak penjual yang suka bohong,2,0,2022-12-23 12:10:26,penjual suka bohong
"Aplikasi bermasalah tidak bisa isi pulsa, token listrik dan lainnya",2,0,2022-10-29 16:10:22,aplikasi bermasalah isi pulsa token listrik
Kok susah bgt buat log in sih. Gaada pilihan verifikasi lainnya lagi. Saya coba log in tapi di suruh verifikasi wajah tapi gagal terus. Udah dicoba berkali-kali ke tempat yang lebih terang tetap saja gabisa🙏,2,0,2022-11-30 06:30:36,susah bgt log in sih gaada pilihan verifikasi coba log in suruh verifikasi wajah gagal udah dicoba berkalikali terang gabisa
"woi perbaiki dong, sering kembali ke halaman awal, banyak kalai biaya tambahan apalah, grtis ongkir juga jarang bnget, voucher banyak tapi gak bisa di pakai, ahhhh ancur shopeee",2,0,2022-12-23 20:06:56,woi perbaiki halaman kalai biaya tambahan apalah grti ongkir jarang bnget voucher gak pakai ahhhh ancur shopee
"Shopee di hp gua eror, mohon segera di perbaik segera",2,0,2022-10-19 10:48:30,shope hp gua eror mohon perbaik
Sudah di perbarui kok malah tambah lemoot.gimana dong jadi males buka aplikasinya.tolong dong kak.biar lncar kaya sebelumnya..,2,0,2023-01-13 11:52:59,perbarui lemootgimana male buka aplikasinyatolong kakbiar lncar kaya
"Kenapa sekarang shopee tidak berfungsi semana mestinya, masa buka shopee selalu ada tulisan ""UPS,halaman sedang dalam perbaikan mohon tunggu sebentar! Kembali ke halaman utama, tapi di klik tetep aja begitu terus. Tolong dong",2,0,2022-12-22 10:23:28,shope berfungsi semana mestinya buka shope tulisan upshalaman perbaikan mohon tunggu sebentar halaman utama klik tetep aja tolong
"Mau didownload kok susah, hp nya hrs instal ulang gmn si",2,0,2022-09-13 00:25:54,didownload susah hp nya hr instal ulang gmn si
Skrng shopee pay ga ad free ongkir smua dikenakan admin,2,0,2022-10-25 02:33:05,skrng shope pay ga ad free ongkir smua dikenakan admin
Kenapa shopee sekarang untuk voucher gratis ongkir 0 rupiah hanya dipotong ongkirnya? Mau beli barang malah mahalan ongkir Shopee sekarang gak kaya dulu,2,0,2022-09-09 01:56:47,shope voucher grati ongkir rupiah dipotong ongkirnya beli barang mahalan ongkir shope gak kaya
Ongkir mahal amat mending blanja di market place laen,2,0,2023-01-06 10:59:09,ongkir mahal mend blanja market place laen
Makin lama shopee makin lelet.kadang aplikasinya susah di buka pokonya shopee sekarang makin menjengkelkan.,2,0,2023-01-19 05:13:16,shope leletkadang aplikasinya susah buka pokonya shope menjengkelkan
e3 RT,2,0,2023-04-06 03:03:06,e rt
shopee makin lama aplikasinya makin berat suka heng capek deh,2,0,2022-12-09 04:09:53,shope aplikasinya berat suka heng capek deh
Biaya penanganan terlalu membebani pelanggan Aplikasi semakin berat di jalankan Piye to gan?!,2,0,2022-08-18 09:04:36,biaya penanganan membebani pelanggan aplikasi berat jalankan piy to gan
Aplikasi nya lemot dan ngeboost. Bikin kuota cepet habis. Terkadang nge lag juga,2,0,2023-03-17 13:07:56,aplikasi nya lemot ngeboost bikin kuota cepet habi terkadang nge lag
"Biaya paylaternya terlalu besaaaaaar,,😬",2,0,2023-01-04 13:49:59,biaya paylaternya besaaaaaar
Ongkirnya mahal dishopee tolong dong perbaiki lagi.. Mahalan ongkirnya kebanding harga barangnya belum lagi ada biaya bebannya duuhhh,2,0,2022-12-23 03:29:28,ongkirnya mahal dishope tolong perbaiki mahalan ongkirnya keband harga barangnya biaya bebannya duuhhh
Ga pernah berhasil ngajuin shp later,2,0,2022-10-22 07:41:24,ga berhasil ngajuin shp later
Cara matikan autoplay video gimana????? Di komentar autoplay di produk juga autoplay,2,0,2022-12-15 14:43:15,matikan autoplay video gimana komentar autoplay produk autoplay
Ini jadi knapa sih dari kmarin udh d update masih aja gabisa dibuka..halaman masih perbaikan mulu,2,0,2022-12-23 03:08:36,knapa sih kmarin udh d updat aja gabisa dibukahalaman perbaikan mulu
"Suka ngelag, waktu mau bayar pake shopeepay sering erorr",2,0,2022-09-02 08:35:09,suka ngelag bayar pake shopeepay erorr
Tolong untuk driver pengiriman nya kalau shoppe kasik fitur cod ya udh gpp knpa harus maksa buat TF kecuali orange gak ada di rumah baru bisa TF orange ada di rumah suruh TF mana lagi pengiriman nya cuman shoppe aja gak ada pengiriman lainya kayak j&t Tah jne gitu,2,0,2023-04-11 11:53:39,tolong driver pengiriman nya shopp kasik fitur cod ya udh gpp knpa maksa tf kecuali orang gak rumah tf orang rumah suruh tf pengiriman nya cuman shopp aja gak pengiriman lainya kayak jt tah jne gitu
Aplikasinya mulai lemot,2,0,2023-03-04 09:18:12,aplikasinya lemot
Kamuu nanyaaaaaa☹️,2,0,2023-03-25 12:10:42,kamuu nanyaaaaaa
Luemotttt nya gk ketulungan,2,0,2023-01-24 00:25:54,luemotttt nya gk ketulungan
"Min Kok tiba2 log out ,terus gak bisa masuk",2,0,2023-02-06 04:48:22,min log out gak masuk
Kenapa skg jd lemotttt,2,0,2022-09-25 18:00:16,skg jd lemotttt
"Lama bet loding nya najis, pdahal sinyal bagus",2,0,2022-12-17 13:51:28,bet lode nya naji pdahal sinyal bagu
"Shopee sekarang bad banget, loading mulu mau cek saldo shopeepay ga bisa dari bulan lalu Hari ini juga pembayaran transaksi gagal terus2an, hangus dahh semua voucher diskonku. Tolong dong ga usah dikasih ""kami sedang memuat fitur"" itu bikin ribet banget perasaan dulu ga ada kayak gitu dehh",2,0,2022-12-31 19:51:03,shope bad banget load mulu cek saldo shopeepay ga pembayaran transaksi gagal terusan hangu dahh voucher diskonku tolong ga dikasih memuat fitur bikin ribet banget perasaan ga kayak gitu dehh
"Skrg ga bs pilih ekspedisi. Plng ga suka kalo pake shopee standar express. Srng lwat estimasi. Muter2 ga jls. Msa dr demak ke pml yg sm2 Jateng, rutenya ke jkt dulu trs ke smrg baru ke tujuan. Smpai lwat estimasi. Tlng diperbaiki utk ekspedisi. Andai aja bs mlh ekspedisi, ga kan mlh sshopee standar express. Bikin dongkol..",2,2,2022-07-21 11:49:58,skrg ga bs pilih ekspedisi plng ga suka kalo pake shope standar express srng lwat estimasi muter ga jl msa dr demak pml yg sm jateng rutenya jkt tr smrg tujuan smpai lwat estimasi tlng diperbaiki utk ekspedisi andai aja bs mlh ekspedisi ga mlh sshope standar express bikin dongkol
Makin lma mkin jlk sja ...buat lihat vidio sja tdak bisa asal2n ini mntang2 bnyk yg blnja di shopi,2,0,2023-01-14 06:14:19,lma mkin jlk sja lihat vidio sja tdak asaln mntang bnyk yg blnja shopi
"Kecewa dengan aturan yg baru, Biasanya beli liquid di VapeStore langgana Eh sekarang malah nggak bisa",2,0,2022-11-22 13:58:40,kecewa aturan yg beli liquid vapestor langgana eh nggak
Lemot bgt sumpah aplikasinya,2,0,2022-12-09 14:29:54,lemot bgt sumpah aplikasinya
gk bisa cod,2,0,2023-02-17 23:33:31,gk cod
Tolong dong kok saldo SHOPEE pay saya hilang!!! Saldo ya masih lumayan masih 498rb lagi. Gimana caranya saldo saya kembali!!!,2,0,2022-07-21 15:28:39,tolong saldo shope pay hilang saldo ya lumayan rb gimana saldo
"Makin diudate aplikasi malah makin berat, ngelag, kadang suka gak respon, padahal koneksi internetnya bagus, pun demikian dgn perangkat yg digunakan bisa dibilang mumpuni. Parah... parah...",2,0,2022-08-01 03:14:48,diudat aplikasi berat ngelag kadang suka gak respon koneksi internetnya bagu dgn perangkat yg dibilang mumpuni parah parah
Ini aplikasi sering kli lelet geram banget susah jdi nya tolong diperbaiki lagi lah developer nya,2,0,2022-08-13 12:23:38,aplikasi kli lelet geram banget susah jdi nya tolong diperbaiki develop nya
